"category","thresholdSensitivity","categoryType","alias","feedExpirationDate","feedIsStale"
"Technetium Tc 99M Hsa",,"Therapy","[u'Technetium Tc-99M Albumin Kit']",,
"Technetium Tc 99M Maa",,"Therapy","[u'Technetium Tc-99M Albumin Aggregated Kit']",,
"Technetium Tc 99M Mpi Mdp",,"Therapy","[u'Technetium Tc-99M Medronate Kit']",,
"Technetium Tc 99M Sestamibi",,"Therapy","[u'Technetium Tc-99M Sestamibi Kit']",,
"Technetium Tc 99M Sulfur Colloid",,"Therapy","[u'Technetium Tc-99M Sulfur Colloid']",,
"Technetium Tc 99M Tsc",,"Therapy","[u'Technetium Tc-99M Sulfur Colloid Kit']",,
"Technetium Tc-99 Sestamibi",,"Therapy","[u'Technetium Tc-99M Sestamibi Kit']",,
"Technetium Tc-99M Mebrofenin",,"Therapy","[u'Technetium Tc-99M Mebrofenin Kit']",,
"Technetium Tc-99M Pentetate Kit",,"Therapy",,,
"Teczem",,"Therapy","[u'Diltiazem Malate; Enalapril Maleate']",,
"Teebacin",,"Therapy","[u'Aminosalicylate Sodium']",,
"Teflaro",,"Therapy","[u'Ceftaroline Fosamil']",,
"Tegison",,"Therapy","[u'Etretinate']",,
"Tegopen",,"Therapy","[u'Cloxacillin Sodium']",,
"Tegretol",,"Therapy","[u'Carbamazepine']",,
"Tegretol-Xr",,"Therapy","[u'Carbamazepine']",,
"Tekamlo",,"Therapy","[u'Aliskiren Hemifumarate; Amlodipine Besylate']",,
"Tekturna",,"Therapy","[u'Aliskiren Hemifumarate']",,
"Tekturna Hct",,"Therapy","[u'Aliskiren Hemifumarate; Hydrochlorothiazide']",,
"Teldrin",,"Therapy","[u'Chlorpheniramine Maleate']",,
"Telepaque",,"Therapy","[u'Iopanoic Acid']",,
"Telmisartan",,"Therapy",,,
"Temaril",,"Therapy","[u'Trimeprazine Tartrate']",,
"Temaz",,"Therapy","[u'Temazepam']",,
"Temazepam",,"Therapy",,,
"Temodar",,"Therapy","[u'Temozolomide']",,
"Temovate",,"Therapy","[u'Clobetasol Propionate']",,
"Temovate E",,"Therapy","[u'Clobetasol Propionate']",,
"Temozolomide",,"Therapy",,,
"Ten-K",,"Therapy","[u'Potassium Chloride']",,
"Tenathan",,"Therapy","[u'Bethanidine Sulfate']",,
"Tencon",,"Therapy","[u'Acetaminophen; Butalbital']",,
"Tenex",,"Therapy","[u'Guanfacine Hydrochloride']",,
"Tenofovir Disoproxil Fumarate",,"Therapy",,,
"Tenoretic 100",,"Therapy","[u'Atenolol; Chlorthalidone']",,
"Tenoretic 50",,"Therapy","[u'Atenolol; Chlorthalidone']",,
"Tenormin",,"Therapy","[u'Atenolol']",,
"Tensilon",,"Therapy","[u'Edrophonium Chloride']",,
"Tensilon Preservative Free",,"Therapy","[u'Edrophonium Chloride']",,
"Tenuate",,"Therapy","[u'Diethylpropion Hydrochloride']",,
"Tenuate Dospan",,"Therapy","[u'Diethylpropion Hydrochloride']",,
"Tepanil",,"Therapy","[u'Diethylpropion Hydrochloride']",,
"Tepanil Ten-Tab",,"Therapy","[u'Diethylpropion Hydrochloride']",,
"Tequin",,"Therapy","[u'Gatifloxacin']",,
"Tequin In Dextrose 5% In Plastic Container",,"Therapy","[u'Gatifloxacin']",,
"Terazol 3",,"Therapy","[u'Terconazole']",,
"Terazol 7",,"Therapy","[u'Terconazole']",,
"Terazosin Hydrochloride",,"Therapy",,,
"Terbinafine Hydrochloride",,"Therapy",,,
"Terbutaline Sulfate",,"Therapy",,,
"Terconazole",,"Therapy",,,
"Terfonyl",,"Therapy","[u'Trisulfapyrimidines (Sulfadiazine;Sulfamerazine;Sulfamethazine)']",,
"Teril",,"Therapy","[u'Carbamazepine']",,
"Terra-Cortril",,"Therapy","[u'Hydrocortisone Acetate; Oxytetracycline Hydrochloride']",,
"Terramycin",,"Therapy","[u'Oxytetracycline Calcium']",,
"Terramycin W/ Polymyxin",,"Therapy","[u'Oxytetracycline Hydrochloride; Polymyxin B Sulfate']",,
"Terramycin W/ Polymyxin B Sulfate",,"Therapy","[u'Oxytetracycline Hydrochloride; Polymyxin B Sulfate']",,
"Terramycin-Polymyxin",,"Therapy","[u'Oxytetracycline Hydrochloride; Polymyxin B Sulfate']",,
"Teslac",,"Therapy","[u'Testolactone']",,
"Teslascan",,"Therapy","[u'Mangafodipir Trisodium']",,
"Tessalon",,"Therapy","[u'Benzonatate']",,
"Testim",,"Therapy","[u'Testosterone']",,
"Testoderm",,"Therapy","[u'Testosterone']",,
"Testoderm Tts",,"Therapy","[u'Testosterone']",,
"Testopel",,"Therapy","[u'Testosterone']",,
"Testosterone",,"Therapy",,,
"Testosterone Cypionate",,"Therapy",,,
"Testosterone Cypionate-Estradiol Cypionate",,"Therapy","[u'Estradiol Cypionate; Testosterone Cypionate']",,
"Testosterone Enanthate",,"Therapy",,,
"Testosterone Enanthate And Estradiol Valerate",,"Therapy","[u'Estradiol Valerate; Testosterone Enanthate']",,
"Testosterone Propionate",,"Therapy",,,
"Testred",,"Therapy","[u'Methyltestosterone']",,
"Tesuloid",,"Therapy","[u'Technetium Tc-99M Sulfur Colloid Kit']",,
"Tetrachel",,"Therapy","[u'Tetracycline Hydrochloride']",,
"Tetracycline Hydrochloride",,"Therapy",,,
"Tetracyn",,"Therapy","[u'Procaine Hydrochloride; Tetracycline Hydrochloride']",,
"Tetramed",,"Therapy","[u'Tetracycline Hydrochloride']",,
"Tetrex",,"Therapy","[u'Tetracycline Phosphate Complex']",,
"Tev-Tropin",,"Therapy","[u'Somatropin Recombinant']",,
"Teveten",,"Therapy","[u'Eprosartan Mesylate']",,
"Teveten Hct",,"Therapy","[u'Eprosartan Mesylate; Hydrochlorothiazide']",,
"Texacort",,"Therapy","[u'Hydrocortisone']",,
"Thalitone",,"Therapy","[u'Chlorthalidone']",,
"Thallous Chloride Tl 201",,"Therapy","[u'Thallous Chloride Tl-201']",,
"Thalomid",,"Therapy","[u'Thalidomide']",,
"Tham",,"Therapy","[u'Tromethamine']",,
"Tham-E",,"Therapy","[u'Potassium Chloride; Sodium Chloride; Tromethamine']",,
"Theelin",,"Therapy","[u'Estrone']",,
"Theo-24",,"Therapy","[u'Theophylline']",,
"Theo-Dur",,"Therapy","[u'Theophylline']",,
"Theobid",,"Therapy","[u'Theophylline']",,
"Theobid Jr.",,"Therapy","[u'Theophylline']",,
"Theochron",,"Therapy","[u'Theophylline']",,
"Theoclear L.A.-130",,"Therapy","[u'Theophylline']",,
"Theoclear L.A.-260",,"Therapy","[u'Theophylline']",,
"Theoclear-100",,"Therapy","[u'Theophylline']",,
"Theoclear-200",,"Therapy","[u'Theophylline']",,
"Theoclear-80",,"Therapy","[u'Theophylline']",,
"Theolair",,"Therapy","[u'Theophylline']",,
"Theolair-Sr",,"Therapy","[u'Theophylline']",,
"Theolixir",,"Therapy","[u'Theophylline']",,
"Theophyl",,"Therapy","[u'Theophylline']",,
"Theophyl-225",,"Therapy","[u'Theophylline']",,
"Theophyl-Sr",,"Therapy","[u'Theophylline']",,
"Theophylline",,"Therapy",,,
"Theophylline 0.04% And Dextrose 5% In Plastic Container",,"Therapy","[u'Theophylline']",,
"Theophylline 0.08% And Dextrose 5% In Plastic Container",,"Therapy","[u'Theophylline']",,
"Theophylline 0.16% And Dextrose 5% In Plastic Container",,"Therapy","[u'Theophylline']",,
"Theophylline 0.2% And Dextrose 5% In Plastic Container",,"Therapy","[u'Theophylline']",,
"Theophylline 0.32% And Dextrose 5% In Plastic Container",,"Therapy","[u'Theophylline']",,
"Theophylline 0.4% And Dextrose 5% In Plastic Container",,"Therapy","[u'Theophylline']",,
"Theophylline And Dextrose 5% In Plastic Container",,"Therapy","[u'Theophylline']",,
"Theophylline In Dextrose 5% In Plastic Container",,"Therapy","[u'Theophylline']",,
"Theophylline-Sr",,"Therapy","[u'Theophylline']",,
"Theovent",,"Therapy","[u'Theophylline']",,
"Thermazene",,"Therapy","[u'Silver Sulfadiazine']",,
"Theroxidil",,"Therapy","[u'Minoxidil']",,
"Thiamine Hydrochloride",,"Therapy",,,
"Thioguanine",,"Therapy",,,
"Thioplex",,"Therapy","[u'Thiotepa']",,
"Thioridazine Hydrochloride",,"Therapy",,,
"Thioridazine Hydrochloride Intensol",,"Therapy","[u'Thioridazine Hydrochloride']",,
"Thiosulfil",,"Therapy","[u'Sulfamethizole']",,
"Thiotepa",,"Therapy",,,
"Thiothixene",,"Therapy",,,
"Thiothixene Hydrochloride",,"Therapy",,,
"Thiothixene Hydrochloride Intensol",,"Therapy","[u'Thiothixene Hydrochloride']",,
"Thorazine",,"Therapy","[u'Chlorpromazine Hydrochloride']",,
"Thrive",,"Therapy","[u'Nicotine Polacrilex']",,
"Thypinone",,"Therapy","[u'Protirelin']",,
"Thyrel Trh",,"Therapy","[u'Protirelin']",,
"Thyro-Block",,"Therapy","[u'Potassium Iodide']",,
"Thyrogen",,"Therapy","[u'Thyrotropin Alfa']",,
"Thyroglobulin",,"Therapy",,,
"Thyrolar-0.25",,"Therapy","[u'Liotrix (T4;T3)']",,
"Thyrolar-0.5",,"Therapy","[u'Liotrix (T4;T3)']",,
"Thyrolar-1",,"Therapy","[u'Liotrix (T4;T3)']",,
"Thyrolar-2",,"Therapy","[u'Liotrix (T4;T3)']",,
"Thyrolar-3",,"Therapy","[u'Liotrix (T4;T3)']",,
"Thyrolar-5",,"Therapy","[u'Liotrix (T4;T3)']",,
"Thyrosafe",,"Therapy","[u'Potassium Iodide']",,
"Thyroshield",,"Therapy","[u'Potassium Iodide']",,
"Thytropar",,"Therapy","[u'Thyrotropin']",,
"Tiagabine Hydrochloride",,"Therapy",,,
"Tiamate",,"Therapy","[u'Diltiazem Malate']",,
"Tiazac",,"Therapy","[u'Diltiazem Hydrochloride']",,
"Ticar",,"Therapy","[u'Ticarcillin Disodium']",,
"Ticlid",,"Therapy","[u'Ticlopidine Hydrochloride']",,
"Ticlopidine Hydrochloride",,"Therapy",,,
"Tigan",,"Therapy","[u'Trimethobenzamide Hydrochloride']",,
"Tikosyn",,"Therapy","[u'Dofetilide']",,
"Tilade",,"Therapy","[u'Nedocromil Sodium']",,
"Timentin",,"Therapy","[u'Clavulanate Potassium; Ticarcillin Disodium']",,
"Timentin In Plastic Container",,"Therapy","[u'Clavulanate Potassium; Ticarcillin Disodium']",,
"Timolide 10-25",,"Therapy","[u'Hydrochlorothiazide; Timolol Maleate']",,
"Timolol Maleate",,"Therapy",,,
"Timoptic",,"Therapy","[u'Timolol Maleate']",,
"Timoptic In Ocudose",,"Therapy","[u'Timolol Maleate']",,
"Timoptic-Xe",,"Therapy","[u'Timolol Maleate']",,
"Tindal",,"Therapy","[u'Acetophenazine Maleate']",,
"Tindamax",,"Therapy","[u'Tinidazole']",,
"Tioconazole",,"Therapy",,,
"Tiopronin",,"Therapy",,,
"Tirosint",,"Therapy","[u'Levothyroxine Sodium']",,
"Tis-U-Sol",,"Therapy","[u'Magnesium Sulfate; Potassium Chloride; Potassium Phosphate, Monobasic; Sodium Chloride; Sodium Phosphate']",,
"Tis-U-Sol In Plastic Container",,"Therapy","[u'Magnesium Sulfate; Potassium Chloride; Potassium Phosphate, Monobasic; Sodium Chloride; Sodium Phosphate']",,
"Tizanidine Hydrochloride",,"Therapy",,,
"Tnkase",,"Therapy","[u'Tenecteplase']",,
"Tobi",,"Therapy","[u'Tobramycin']",,
"Tobradex",,"Therapy","[u'Dexamethasone; Tobramycin']",,
"Tobradex St",,"Therapy","[u'Dexamethasone; Tobramycin']",,
"Tobramycin",,"Therapy",,,
"Tobramycin And Dexamethasone",,"Therapy","[u'Dexamethasone; Tobramycin']",,
"Tobramycin Sulfate",,"Therapy",,,
"Tobramycin Sulfate (Pharmacy Bulk)",,"Therapy","[u'Tobramycin Sulfate']",,
"Tobramycin Sulfate In Sodium Chloride 0.9% In Plastic Container",,"Therapy","[u'Tobramycin Sulfate']",,
"Tobrasone",,"Therapy","[u'Fluorometholone Acetate; Tobramycin']",,
"Tobrex",,"Therapy","[u'Tobramycin']",,
"Today",,"Therapy","[u'Nonoxynol-9']",,
"Tofranil",,"Therapy","[u'Imipramine Hydrochloride']",,
"Tofranil-Pm",,"Therapy","[u'Imipramine Pamoate']",,
"Tolazamide",,"Therapy",,,
"Tolbutamide",,"Therapy",,,
"Tolectin",,"Therapy","[u'Tolmetin Sodium']",,
"Tolectin 600",,"Therapy","[u'Tolmetin Sodium']",,
"Tolectin Ds",,"Therapy","[u'Tolmetin Sodium']",,
"Tolinase",,"Therapy","[u'Tolazamide']",,
"Tolmetin Sodium",,"Therapy",,,
"Tolterodine",,"Therapy","[u'Tolterodine Tartrate']",,
"Tolterodine Tartrate",,"Therapy",,,
"Tonocard",,"Therapy","[u'Tocainide Hydrochloride']",,
"Topamax",,"Therapy","[u'Topiramate']",,
"Topamax Sprinkle",,"Therapy","[u'Topiramate']",,
"Topicort",,"Therapy","[u'Desoximetasone']",,
"Topicort Lp",,"Therapy","[u'Desoximetasone']",,
"Topicycline",,"Therapy","[u'Tetracycline Hydrochloride']",,
"Topiramate",,"Therapy",,,
"Toposar",,"Therapy","[u'Etoposide']",,
"Topotecan",,"Therapy",,,
"Topotecan Hydrochloride",,"Therapy",,,
"Toprol-Xl",,"Therapy","[u'Metoprolol Succinate']",,
"Tora",,"Therapy","[u'Phentermine Hydrochloride']",,
"Toradol",,"Therapy","[u'Ketorolac Tromethamine']",,
"Torecan",,"Therapy","[u'Thiethylperazine Maleate']",,
"Torisel",,"Therapy","[u'Temsirolimus']",,
"Tornalate",,"Therapy","[u'Bitolterol Mesylate']",,
"Torsemide",,"Therapy",,,
"Totacillin",,"Therapy","[u'Ampicillin/Ampicillin Trihydrate']",,
"Totacillin-N",,"Therapy","[u'Ampicillin Sodium']",,
"Totect",,"Therapy","[u'Dexrazoxane Hydrochloride']",,
"Tovalt Odt",,"Therapy","[u'Zolpidem Tartrate']",,
"Toviaz",,"Therapy","[u'Fesoterodine Fumarate']",,
"Tpn",,"Therapy","[u'Niacinamide; Pyridoxine Hydrochloride; Tyrosine']",,
"Tpn Electrolytes In Plastic Container",,"Therapy","[u'Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Acetate; Sodium Chloride']",,
"Tracleer",,"Therapy","[u'Bosentan']",,
"Tracrium",,"Therapy","[u'Atracurium Besylate']",,
"Tracrium Preservative Free",,"Therapy","[u'Atracurium Besylate']",,
"Tral",,"Therapy","[u'Hexocyclium Methylsulfate']",,
"Tramadol Hydrochloride",,"Therapy",,,
"Tramadol Hydrochloride And Acetaminophen",,"Therapy","[u'Acetaminophen; Tramadol Hydrochloride']",,
"Trancopal",,"Therapy","[u'Chlormezanone']",,
"Trandate",,"Therapy","[u'Labetalol Hydrochloride']",,
"Trandate Hct",,"Therapy","[u'Hydrochlorothiazide; Labetalol Hydrochloride']",,
"Trandolapril",,"Therapy",,,
"Trandolapril And Verapamil Hydrochloride",,"Therapy","[u'Trandolapril; Verapamil Hydrochloride']",,
"Tranmep",,"Therapy","[u'Meprobamate']",,
"Transderm Scop",,"Therapy","[u'Scopolamine']",,
"Transderm-Nitro",,"Therapy","[u'Nitroglycerin']",,
"Tranxene",,"Therapy","[u'Clorazepate Dipotassium']",,
"Tranxene Sd",,"Therapy","[u'Clorazepate Dipotassium']",,
"Tranylcypromine Sulfate",,"Therapy",,,
"Trasicor",,"Therapy","[u'Oxprenolol Hydrochloride']",,
"Trasylol",,"Therapy","[u'Aprotinin']",,
"Travamulsion 10%",,"Therapy","[u'Soybean Oil']",,
"Travamulsion 20%",,"Therapy","[u'Soybean Oil']",,
"Travase",,"Therapy","[u'Sutilains']",,
"Travasol 10% In Plastic Container",,"Therapy","[u'Amino Acids']",,
"Travasol 10% W/O Electrolytes",,"Therapy","[u'Amino Acids']",,
"Travasol 2.75% In Dextrose 10% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose']",,
"Travasol 2.75% In Dextrose 15% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose']",,
"Travasol 2.75% In Dextrose 20% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose']",,
"Travasol 2.75% In Dextrose 25% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose']",,
"Travasol 2.75% In Dextrose 5% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose']",,
"Travasol 2.75% Sulfite Free W/ Electrolytes In Dextrose 10% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose; Magnesium Chloride; Potassium Phosphate, Dibasic; Sodium Acetate; Sodium Chloride']",,
"Travasol 2.75% Sulfite Free W/ Electrolytes In Dextrose 15% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose; Magnesium Chloride; Potassium Phosphate, Dibasic; Sodium Acetate; Sodium Chloride']",,
"Travasol 2.75% Sulfite Free W/ Electrolytes In Dextrose 20% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose; Magnesium Chloride; Potassium Phosphate, Dibasic; Sodium Acetate; Sodium Chloride']",,
"Travasol 2.75% Sulfite Free W/ Electrolytes In Dextrose 25% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose; Magnesium Chloride; Potassium Phosphate, Dibasic; Sodium Acetate; Sodium Chloride']",,
"Travasol 2.75% Sulfite Free W/ Electrolytes In Dextrose 5% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose; Magnesium Chloride; Potassium Phosphate, Dibasic; Sodium Acetate; Sodium Chloride']",,
"Travasol 3.5% Sulfite Free W/ Electrolytes In Plastic Container",,"Therapy","[u'Amino Acids; Magnesium Chloride; Potassium Phosphate, Dibasic; Sodium Acetate; Sodium Chloride']",,
"Travasol 3.5% W/ Electrolytes",,"Therapy","[u'Amino Acids; Magnesium Chloride; Potassium Phosphate, Dibasic; Sodium Acetate; Sodium Chloride']",,
"Travasol 4.25% In Dextrose 10% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose']",,
"Travasol 4.25% In Dextrose 15% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose']",,
"Travasol 4.25% In Dextrose 20% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose']",,
"Travasol 4.25% In Dextrose 25% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose']",,
"Travasol 4.25% In Dextrose 5% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose']",,
"Travasol 4.25% Sulfite Free W/ Electrolytes In Dextrose 10% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose; Magnesium Chloride; Potassium Phosphate, Dibasic; Sodium Acetate; Sodium Chloride']",,
"Travasol 4.25% Sulfite Free W/ Electrolytes In Dextrose 15% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose; Magnesium Chloride; Potassium Phosphate, Dibasic; Sodium Acetate; Sodium Chloride']",,
"Travasol 4.25% Sulfite Free W/ Electrolytes In Dextrose 20% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose; Magnesium Chloride; Potassium Phosphate, Dibasic; Sodium Acetate; Sodium Chloride']",,
"Travasol 4.25% Sulfite Free W/ Electrolytes In Dextrose 25% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose; Magnesium Chloride; Potassium Phosphate, Dibasic; Sodium Acetate; Sodium Chloride']",,
"Travasol 4.25% Sulfite Free W/ Electrolytes In Dextrose 5% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose; Magnesium Chloride; Potassium Phosphate, Dibasic; Sodium Acetate; Sodium Chloride']",,
"Travasol 5.5% In Plastic Container",,"Therapy","[u'Amino Acids']",,
"Travasol 5.5% Sulfite Free W/ Electrolytes In Plastic Container",,"Therapy","[u'Amino Acids; Magnesium Chloride; Potassium Phosphate, Dibasic; Sodium Acetate; Sodium Chloride']",,
"Travasol 5.5% W/ Electrolytes",,"Therapy","[u'Amino Acids; Magnesium Chloride; Potassium Phosphate, Dibasic; Sodium Acetate; Sodium Chloride']",,
"Travasol 5.5% W/O Electrolytes",,"Therapy","[u'Amino Acids']",,
"Travasol 8.5% In Plastic Container",,"Therapy","[u'Amino Acids']",,
"Travasol 8.5% Sulfite Free W/ Electrolytes In Plastic Container",,"Therapy","[u'Amino Acids; Magnesium Chloride; Potassium Phosphate, Dibasic; Sodium Acetate; Sodium Chloride']",,
"Travasol 8.5% W/ Electrolytes",,"Therapy","[u'Amino Acids; Magnesium Chloride; Potassium Phosphate, Dibasic; Sodium Acetate; Sodium Chloride']",,
"Travasol 8.5% W/O Electrolytes",,"Therapy","[u'Amino Acids']",,
"Travatan",,"Therapy","[u'Travoprost']",,
"Travatan Z",,"Therapy","[u'Travoprost']",,
"Travert 10% In Plastic Container",,"Therapy","[u'Invert Sugar']",,
"Trazodone Hydrochloride",,"Therapy",,,
"Treanda",,"Therapy","[u'Bendamustine Hydrochloride']",,
"Trecator",,"Therapy","[u'Ethionamide']",,
"Trelstar",,"Therapy","[u'Triptorelin Pamoate']",,
"Trelstar Depot",,"Therapy","[u'Triptorelin Pamoate']",,
"Trelstar La",,"Therapy","[u'Triptorelin Pamoate']",,
"Tremin",,"Therapy","[u'Trihexyphenidyl Hydrochloride']",,
"Trental",,"Therapy","[u'Pentoxifylline']",,
"Trest",,"Therapy","[u'Methixene Hydrochloride']",,
"Tretinoin",,"Therapy",,,
"Trexall",,"Therapy","[u'Methotrexate Sodium']",,
"Treximet",,"Therapy","[u'Naproxen Sodium; Sumatriptan Succinate']",,
"Tri Lo Sprintec",,"Therapy","[u'Ethinyl Estradiol; Norgestimate']",,
"Tri-Legest 21",,"Therapy","[u'Ethinyl Estradiol; Norethindrone Acetate']",,
"Tri-Legest Fe",,"Therapy","[u'Ethinyl Estradiol; Norethindrone Acetate']",,
"Tri-Luma",,"Therapy","[u'Fluocinolone Acetonide; Hydroquinone; Tretinoin']",,
"Tri-Norinyl 21-Day",,"Therapy","[u'Ethinyl Estradiol; Norethindrone']",,
"Tri-Norinyl 28-Day",,"Therapy","[u'Ethinyl Estradiol; Norethindrone']",,
"Tri-Previfem",,"Therapy","[u'Ethinyl Estradiol; Norgestimate']",,
"Tri-Sprintec",,"Therapy","[u'Ethinyl Estradiol; Norgestimate']",,
"Triacet",,"Therapy","[u'Triamcinolone Acetonide']",,
"Triacin-C",,"Therapy","[u'Codeine Phosphate; Pseudoephedrine Hydrochloride; Triprolidine Hydrochloride']",,
"Triacort",,"Therapy","[u'Triamcinolone Acetonide']",,
"Triad",,"Therapy","[u'Acetaminophen; Butalbital; Caffeine']",,
"Trialodine",,"Therapy","[u'Trazodone Hydrochloride']",,
"Triamcinolone",,"Therapy",,,
"Triamcinolone Acetonide",,"Therapy",,,
"Triamcinolone Acetonide In Absorbase",,"Therapy","[u'Triamcinolone Acetonide']",,
"Triamcinolone Diacetate",,"Therapy",,,
"Triaminic-12",,"Therapy","[u'Chlorpheniramine Maleate; Phenylpropanolamine Hydrochloride']",,
"Triamterene And Hydrochlorothiazide",,"Therapy","[u'Hydrochlorothiazide; Triamterene']",,
"Triaprin",,"Therapy","[u'Acetaminophen; Butalbital']",,
"Triatex",,"Therapy","[u'Triamcinolone Acetonide']",,
"Triavil 2-10",,"Therapy","[u'Amitriptyline Hydrochloride; Perphenazine']",,
"Triavil 2-25",,"Therapy","[u'Amitriptyline Hydrochloride; Perphenazine']",,
"Triavil 4-10",,"Therapy","[u'Amitriptyline Hydrochloride; Perphenazine']",,
"Triavil 4-25",,"Therapy","[u'Amitriptyline Hydrochloride; Perphenazine']",,
"Triavil 4-50",,"Therapy","[u'Amitriptyline Hydrochloride; Perphenazine']",,
"Triazolam",,"Therapy",,,
"Tribenzor",,"Therapy","[u'Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil']",,
"Trichlorex",,"Therapy","[u'Trichlormethiazide']",,
"Trichlormas",,"Therapy","[u'Trichlormethiazide']",,
"Trichlormethiazide",,"Therapy",,,
"Trichlormethiazide W/ Reserpine",,"Therapy","[u'Reserpine; Trichlormethiazide']",,
"Triclos",,"Therapy","[u'Triclofos Sodium']",,
"Tricor",,"Therapy","[u'Fenofibrate']",,
"Tricor (Micronized)",,"Therapy","[u'Fenofibrate']",,
"Triderm",,"Therapy","[u'Triamcinolone Acetonide']",,
"Tridesilon",,"Therapy","[u'Acetic Acid, Glacial; Desonide']",,
"Tridil",,"Therapy","[u'Nitroglycerin']",,
"Tridione",,"Therapy","[u'Trimethadione']",,
"Triesence",,"Therapy","[u'Triamcinolone Acetonide']",,
"Trifluoperazine Hcl",,"Therapy","[u'Trifluoperazine Hydrochloride']",,
"Trifluoperazine Hydrochloride",,"Therapy",,,
"Trifluridine",,"Therapy",,,
"Triglide",,"Therapy","[u'Fenofibrate']",,
"Trihexyphenidyl Hydrochloride",,"Therapy",,,
"Trilafon",,"Therapy","[u'Perphenazine']",,
"Trileptal",,"Therapy","[u'Oxcarbazepine']",,
"Trilipix",,"Therapy","[u'Choline Fenofibrate']",,
"Trilitron",,"Therapy","[u'Pseudoephedrine Hydrochloride; Triprolidine Hydrochloride']",,
"Trilyte",,"Therapy","[u'Polyethylene Glycol 3350; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride']",,
"Trimeprazine Tartrate",,"Therapy",,,
"Trimeth/Sulfa",,"Therapy","[u'Sulfamethoxazole; Trimethoprim']",,
"Trimethobenzamide Hydrochloride",,"Therapy",,,
"Trimethoprim",,"Therapy",,,
"Trimethoprim Sulfate And Polymyxin B Sulfate",,"Therapy","[u'Polymyxin B Sulfate; Trimethoprim Sulfate']",,
"Trimipramine Maleate",,"Therapy",,,
"Trimox",,"Therapy","[u'Amoxicillin']",,
"Trimpex",,"Therapy","[u'Trimethoprim']",,
"Trimpex 200",,"Therapy","[u'Trimethoprim']",,
"Trinalin",,"Therapy","[u'Azatadine Maleate; Pseudoephedrine Sulfate']",,
"Triostat",,"Therapy","[u'Liothyronine Sodium']",,
"Tripelennamine Hydrochloride",,"Therapy",,,
"Triphasil-21",,"Therapy","[u'Ethinyl Estradiol; Levonorgestrel']",,
"Triphasil-28",,"Therapy","[u'Ethinyl Estradiol; Levonorgestrel']",,
"Triphed",,"Therapy","[u'Pseudoephedrine Hydrochloride; Triprolidine Hydrochloride']",,
"Triple Sulfa",,"Therapy","[u'Triple Sulfa (Sulfabenzamide;Sulfacetamide;Sulfathiazole)']",,
"Triple Sulfas",,"Therapy","[u'Trisulfapyrimidines (Sulfadiazine;Sulfamerazine;Sulfamethazine)']",,
"Triple Sulfoid",,"Therapy","[u'Trisulfapyrimidines (Sulfadiazine;Sulfamerazine;Sulfamethazine)']",,
"Triprolidine And Pseudoephedrine",,"Therapy","[u'Pseudoephedrine Hydrochloride; Triprolidine Hydrochloride']",,
"Triprolidine And Pseudoephedrine Hydrochlorides",,"Therapy","[u'Pseudoephedrine Hydrochloride; Triprolidine Hydrochloride']",,
"Triprolidine And Pseudoephedrine Hydrochlorides W/ Codeine",,"Therapy","[u'Codeine Phosphate; Pseudoephedrine Hydrochloride; Triprolidine Hydrochloride']",,
"Triprolidine Hcl, Pseudoephedrine Hcl And Codeine Phosphate",,"Therapy","[u'Codeine Phosphate; Pseudoephedrine Hydrochloride; Triprolidine Hydrochloride']",,
"Triprolidine Hydrochloride",,"Therapy",,,
"Triprolidine Hydrochloride And Pseudoephedrine Hydrochloride",,"Therapy","[u'Pseudoephedrine Hydrochloride; Triprolidine Hydrochloride']",,
"Trisenox",,"Therapy","[u'Arsenic Trioxide']",,
"Trisoralen",,"Therapy","[u'Trioxsalen']",,
"Tritec",,"Therapy","[u'Ranitidine Bismuth Citrate']",,
"Trivagizole 3",,"Therapy","[u'Clotrimazole']",,
"Trivaris",,"Therapy","[u'Triamcinolone Acetonide']",,
"Trivora-21",,"Therapy","[u'Ethinyl Estradiol; Levonorgestrel']",,
